Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,,Intel,Core m3-7Y30,872,46.4,4585,https://cpu.userbenchmark.com/SpeedTest/196956/IntelR-CoreTM-m3-7Y30-CPU---100GHz
CPU,,AMD,Athlon II X4 631,873,46.4,1364,https://cpu.userbenchmark.com/SpeedTest/2944/AMD-Athlontm-II-X4-631-Quad-Core-Processor
CPU,,Intel,Pentium G620,874,46.4,12899,https://cpu.userbenchmark.com/SpeedTest/2636/IntelR-PentiumR-CPU-G620---260GHz
CPU,,Intel,Core i5 650,875,46.3,42063,https://cpu.userbenchmark.com/SpeedTest/340/IntelR-CoreTM-i5-CPU---------650----320GHz
CPU,,AMD,Athlon II X3 460,876,46.3,1087,https://cpu.userbenchmark.com/SpeedTest/6695/AMD-Athlontm-II-X3-460-Processor
CPU,AD870KXBJCSBX,AMD,Athlon II X4 870K,877,46.2,2094,https://cpu.userbenchmark.com/SpeedTest/83847/AMD-Athlontm-X4-870K-Quad-Core-Processor
CPU,,Intel,Core i7-5500U,878,46.2,73655,https://cpu.userbenchmark.com/SpeedTest/22316/IntelR-CoreTM-i7-5500U-CPU---240GHz
CPU,,Intel,Core2 Extreme Q9300,879,46.1,660,https://cpu.userbenchmark.com/SpeedTest/4063/IntelR-CoreTM2-Extreme-CPU-Q9300----253GHz
CPU,,Intel,Core2 Quad Q9400,880,46.1,24176,https://cpu.userbenchmark.com/SpeedTest/244/IntelR-CoreTM2-Quad-CPU----Q9400----266GHz
CPU,,Intel,Pentium B980,881,46.1,3640,https://cpu.userbenchmark.com/SpeedTest/6036/IntelR-PentiumR-CPU-B980---240GHz
CPU,AD880KXBJCSBX,AMD,Athlon X4 880K,882,46.1,8721,https://cpu.userbenchmark.com/SpeedTest/121029/AMD-Athlontm-X4-880K-Quad-Core-Processor
CPU,,AMD,A8-3850 APU,883,46,3108,https://cpu.userbenchmark.com/SpeedTest/4311/AMD-A8-3850-APU-with-Radeontm-HD-Graphics
CPU,,AMD,A6-3670 APU,884,46,2400,https://cpu.userbenchmark.com/SpeedTest/4657/AMD-A6-3670-APU-with-Radeontm-HD-Graphics
CPU,,AMD,Athlon II X4 645,885,46,5346,https://cpu.userbenchmark.com/SpeedTest/2408/AMD-Athlontm-II-X4-645-Processor
CPU,,Intel,Core M-5Y70,886,46,792,https://cpu.userbenchmark.com/SpeedTest/16573/IntelR-Processor-5Y70-CPU---110GHz
CPU,,AMD,Phenom 9850,887,45.9,2080,https://cpu.userbenchmark.com/SpeedTest/2967/AMD-Phenomtm-9850-Quad-Core-Processor
CPU,,Intel,Core i3 540,888,45.9,24563,https://cpu.userbenchmark.com/SpeedTest/2936/IntelR-CoreTM-i3-CPU---------540----307GHz
CPU,,Intel,Celeron G530,889,45.9,3833,https://cpu.userbenchmark.com/SpeedTest/229/IntelR-CeleronR-CPU-G530---240GHz
CPU,AD787KXDJCBOX,AMD,A10-7870K APU (2014 D.Ka),890,45.8,9821,https://cpu.userbenchmark.com/SpeedTest/29728/AMD-A10-7870K-Radeon-R7-12-Compute-Cores-4C-8G
